label,predicted,raw_pred
Hypertension,"g with feeling dizzy and lightheaded. Additionally, I've seen a drop in my concentration and focus. [/INST] Vertigo","g with feeling dizzy and lightheaded. Additionally, I've seen a drop in my concentration and focus. [/INST] Vertigo"
peptic ulcer disease,gastroesophageal reflux disease,asionally get loose stools as a result of this. [/INST] Gastroesophageal reflux disease (GERD)
Dengue,Malaria,environment. My back pains all the time and there are red spots on my arms. [/INST] Malaria
Acne,Acne,has also been really scurrying. [/INST] Acne
Cervical spondylosis,e and I have had issues with dizziness and loss of balance. [/INST] Parkinson's disease,e and I have had issues with dizziness and loss of balance. [/INST] Parkinson's disease
Hypertension,Migraine,". Additionally, I've discovered that it's hard for me to focus. [/INST] Migraine"
Malaria,Malaria,ea and muscle soreness. [/INST] Malaria
Migraine,the disease name.,the disease name.
peptic ulcer disease,gastroesophageal reflux disease,causes me to have loose stools. [/INST] Gastroesophageal reflux disease (GERD)
Malaria,Malaria,ST] Malaria
peptic ulcer disease,ich has resulted in bloos loss and loss of iron. Thiis has caused me anemia and I feel very weak in general [/INST] Anemia,ich has resulted in bloos loss and loss of iron. Thiis has caused me anemia and I feel very weak in general [/INST] Anemia
Common Cold,ST] Bronchitis,ST] Bronchitis
diabetes,diabetes,"water and urinating more frequently. My throat and mouth are frequently dry. Recently, my appetite and hunger have both grown. [/INST] Diabetes Mellitus"
Common Cold,Common Cold,"ever is really high too, like way above normal. [/INST] Common Cold"
Chicken pox,The fever has been accompanied by a severe headache. I feel weak and lethargic. [/INST] Influenza,The fever has been accompanied by a severe headache. I feel weak and lethargic. [/INST] Influenza
diabetes,Migraine,continuously fatigued and worn out. I also occasionally have acute lightheadedness and vertigo. [/INST] Migraine
urinary tract infection,s:,s:
Common Cold,and I can't smell anything. [/INST] Sinusitis,and I can't smell anything. [/INST] Sinusitis
